Macht	мощь, сила, могущество, власть
Blabla	бла-бла, бла-бла-бла, ля-ля-тополя, тыры-пыры
famos	превосходный, шикарный
Blockhütte	постовая будка
Gitterstab	прут решётки
intolerant	нетерпимый (к чему-л.); непримиримый
bekleckern	запятнать, закапать (напр., супом), забрызгать (напр., грязью); запачкать; замарать
Energiekrise	энергетический кризис
Bravour	браво, мастерство
Flugzeugträger	авиаматка, авианосец
Einreise	въезд (в страну)
Hornhaut	роговица, роговая оболочка (глаза)
Anschaffung	приобретение, покупка; обзаведение
lernfähig	обучаемый
Luftmatratze	надувной матрас
Kartenhaus	карточный домик (тж. перен.)
Sauferei	разг. пьянство; попойка
Reduzierung	уменьшение, снижение, сокращение, редукция (тж. лингв.)
Nervenbündel	комок нервов
Ackerland	пашня, пахотная земля
belastbar	выдерживающий нагрузку
durchweg	повсюду
Einfalt	простота, наивность, простодушие, скромность
Tierquälerei	жестокое обращение с животными
Staatskasse	казна
Lebensabend	закат жизни
Generalschlüssel	универсальный ключ
Heldenmut	герои́зм
übergießen	переливать
Gegenfrage	встречный вопрос
heuchlerisch	лицемерно
abberufen	отзывать, увольнять, освобождать
beängstigen	пугать, напугать, устрашать
zahlenmäßig	количественно, численный
Windbeutel	эклер, ветреник
Purpur	пурпур; багрянец
Anwender	пользователь; потребитель
aufbrummen	заворчать, зарычать
galoppieren	скакать галопом
asozial	асоциальный
Grizzlybär	зоол. гризли
abnehmend	убывающий
verachtenswert	достойный презрения
heruntergekommen	опустившийся
Linguist	лингвист
Niederländer	Голландец, Нидерландец
Zimmerdecke	потолок
Aktienmarkt	фондовая биржа
